show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1953,Movie,Kevin James Doyle: The 30 Year Old Virgin,Cory Cavin,Kevin James Doyle,,,2020,18+,81 min,"Arts, Entertainment, and Culture, Comedy","Growing up in a devoutly Christian home, Kevin was saving sex for marriage. After moving to NYC to pursue acting, he quickly fell in love & got engaged. A month before his wedding, he called it off & found himself as a 30 year old virgin."
s1954,Movie,Kevin Hart Presents: Plastic Cup Boyz,Jay Chapman,"Kevin Hart, Will 'Spank' Horton, Na'im Lynn, Joey Wellis",,,2014,18+,83 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Led by Kevin Hart, The Plastic Cup Boyz are stepping into the spotlight with their stand-up and sketches. Joey Wells, Will """"Spank"""" Horton, and Na'im Lynn take the stage in this comedy special taped at the House of Blues in San Diego."
s1955,Movie,Kevin Hart Presents: Keith Robinson - Back of the Bus Funny,Leslie Small,Keith Robinson,,,2014,18+,68 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Kevin Hart presents comedy club legend Keith Robinson, who brings his in-your-face style to everything from the moment he stopped liking his own son to the real reason why Obama was elected. It's everything you might expect from the man who taught Kevin Hart how to be a comedian."
s1956,Movie,Kesari,Anurag Singh,"Akshay Kumar, Parineeti Chopra, Suvinder Vicky",India,,2019,16+,153 min,"Action, Drama, Historical","Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897."
s1957,Movie,Kentucky Fried Movie,John Landis,"Marilyn Joi, Saul Kahan, David Zucker, Marcy Goldman",,,1977,18+,83 min,Comedy,Directed by the legendary John Landis (Animal House; The Blues Brothers); The Kentucky Fried Movie features a lewd; loosely connected collection of skits that spoof blaxploitation films; news shows; porno movies; TV commercials; kung fu flicks and more!
s1958,TV Show,KenIchi: The Mightiest Disciple (English Dub),,"Josh Grelle, Carrie Savage",,,2007,13+,4 Seasons,"Action, Animation, Anime","Wishing to protect the things he loves and determined to have the strength to face the increasing adversity, KenIchi must learn various martial arts from the dojo's resident masters, taking Karate, Muay Thai, Ju Jitsu and Chinese Martial Arts and combining them to create his own fighting style!"
s1959,TV Show,Kemurikusa.,,,,,2019,TV-NR,1 Season,TV Shows,"A story about three sisters struggling to survive in a desolate world surrounded by decaying buildings and red fog. The story revolves around Rin, a girl with an updo. There's also Ritsu, the big sister who has cat ears and is always calm, and Rina, the innocent, cheerful one dressed in a maid's costume. Just what is it that these sisters are after in this mysterious world?"
s1960,Movie,Kathleen Madigan: Madigan Again,Jay Chapman,Kathleen Madigan,,,2013,18+,65 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Comic Kathleen Madigan delivers new material derived from time spent with her Irish Catholic Midwest family, eating random pills out of her mother's purse, touring Afghanistan, her unparalleled love of John Denver and more."
s1961,Movie,Katherine,Jeremy Kagan,"Sissy Spacek, Art Carney, Jane Wyatt, Henry Winkler, Julie Kavner",,,1975,,97 min,Drama,"Absorbing story of a young heiress who rejects her pampered lifestyle and becomes a violent revolutionary rebelling against social injustices and the system that spawned them. Spacek is remarkably convincing in this demanding role. The movie tends to remind one of the Patty Hearst case and features good, solid storytelling."
s1962,Movie,Katha Sangama,"Chandrajith Belliappa, Karan Ananth, Shashi Kumar, Rahul PK, Jamadagni Manoj, Kiranraj K, Jai Shankar A","Rishab Shetty, Kishore, Haripriya, Raj B Shetty, Avinash, Yagna Shetty, Prakash Belawadi, Balaji Manohar, Pramod Shetty, Sowmya Jagannmurthy",,,2019,13+,154 min,International,Kathasangama is an anthology movie comprising of 7 short stories.
s1963,TV Show,Kashmir The Story,,,,,2018,13+,1 Season,TV Shows,"Kashmir The Story is a documentary which gives an insight into the conflict-ridden region, showcasing facts as they are. The purely observational piece of storytelling is an honest attempt to showcase life in the valley."
s1964,Movie,Karma,Joy Rosalyn,"Dan-Neika Clay, Jamal Woolard, Joy Rosalyn, Chriss Childress, Jan Jo, Jaime Joseph, Naomi Mack, Maria Artis, Tywayne Wheat, Jamey Clay-Brown, Lieutenant Williams",,,2018,,127 min,Suspense,"It's Ciana's birthday and she is lucky enough to have six friends to spend it with. After a celebration the seven of them cozy up on the beach to socialize and tell scary stories, Little do they know they're about to endure a real life scary story of their own. When one of the girls is attacked her friends turn around attack her attackers. Murder, resentment, betrayal and karma consume them."
s1965,TV Show,Karakuri Circus,,"Saiga Masaru:Chihiro Ueda, Narumi Kato:Rikiya Koyama, Shirogane Saiga:Megumi Hayashibara, Eiryo Ashihana:Takahiro Sakurai, Guy Christophe Rech:Nozomu Sasaki",,,2019,TV-NR,1 Season,TV Shows,"After inheriting the family fortune, eleven-year-old Masaru Saiga is targeted by kidnappers armed with bizarre and deadly puppets. He escapes once aided by circus employee Narumi Kato, but the kidnappers soon catch up with them. Just when all seems lost, the two are saved by the mysterious Shirogane who wields her own marionette. From then on, the trio’s fates become inexorably intertwined..."
s1966,Movie,Kapatadhaari (4K UHD),Pradeep Krishnamoorthy,"Sumanth, Nanditha Swetha, Nasser, JP",India,,2021,13+,137 min,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.
